pv_power_kW,ghi_Wm2,temperature_C
0.0000,0.0000,-1.7480
0.0000,0.0000,-1.2570
0.0000,0.0000,-2.4849
0.0000,0.0000,-2.6244
0.0000,0.0000,1.7391
0.0000,0.0000,-0.6383
0.0000,0.0000,0.1285
0.0000,0.0000,-0.8070
0.0000,0.0000,-0.2786
0.0000,0.0000,0.7173
0.0000,0.0000,1.2861
0.0000,0.0000,2.1900
0.0000,0.0000,-2.9499
0.0000,0.0000,-1.0744
0.0000,0.0000,-0.7050
0.0000,0.0000,1.9157
0.0000,0.0000,0.2708
0.0000,0.0000,0.3269
0.0000,0.0000,-1.0828
0.0000,0.0000,1.0805
0.0000,0.0000,1.2296
0.0000,0.0000,2.7708
0.0000,0.0000,0.8400
0.0000,0.0000,0.1008
0.0000,0.0000,0.3712
0.0000,0.0000,-1.5814
0.0000,0.0000,2.5104
0.0000,0.0000,-0.8906
0.0000,0.0000,-1.0029
4.8783,21.1733,-1.0500
13.3387,57.8936,0.5562
24.5276,106.4567,1.5324
30.0775,130.5446,-0.3859
44.8657,194.7295,-1.0448
48.7152,211.4377,-3.5589
59.8421,259.7314,-2.8215
65.2026,282.9976,-0.3639
74.1921,322.0145,-3.5907
83.2617,361.3788,-3.2582
88.8831,385.7775,-2.2626
99.0516,429.9115,-4.3879
93.0760,403.9758,-3.3467
99.9972,434.0158,-3.2692
98.6987,428.3797,-5.6611
92.0141,399.3666,-1.6408
105.2131,456.6542,-5.4589
113.7529,493.7193,-4.0661
108.8010,472.2264,-5.2392
121.0219,525.2685,-5.2246
114.9572,498.9463,-4.4894
101.6974,441.3951,-5.9279
105.5092,457.9394,-5.9139
107.2066,465.3063,-6.5831
106.1178,460.5808,-3.3826
91.0872,395.3437,-6.3788
105.3845,457.3980,-6.7066
87.0064,377.6320,-8.2205
85.9426,373.0148,-7.1969
85.6055,371.5517,-10.0278
83.3095,361.5862,-9.2837
71.5795,310.6747,-9.6616
64.2735,278.9648,-7.9499
56.0355,243.2098,-7.5700
54.9508,238.5018,-9.3063
44.1881,191.7888,-10.8665
30.5510,132.5998,-6.8557
28.6685,124.4291,-9.5853
17.4560,75.7640,-5.6977
7.3892,32.0714,-7.1174
0.0000,0.0000,-7.4117
0.0000,0.0000,-9.7116
0.0000,0.0000,-8.6243
0.0000,0.0000,-7.1894
0.0000,0.0000,-7.9471
0.0000,0.0000,-9.6195
0.0000,0.0000,-8.7916
0.0000,0.0000,-7.6328
0.0000,0.0000,-5.0150
0.0000,0.0000,-8.5826
0.0000,0.0000,-4.9619
0.0000,0.0000,-6.8672
0.0000,0.0000,-6.8079
0.0000,0.0000,-3.1342
0.0000,0.0000,-6.3963
0.0000,0.0000,-5.1455
0.0000,0.0000,-4.5590
0.0000,0.0000,-5.4241
0.0000,0.0000,-3.6318
0.0000,0.0000,-5.8315
0.0000,0.0000,-3.7909
0.0000,0.0000,-0.9307
0.0000,0.0000,-4.0003
0.0000,0.0000,-4.2717
0.0000,0.0000,-1.3064
0.0000,0.0000,-2.2926
0.0000,0.0000,-3.1532
0.0000,0.0000,-1.8779
0.0000,0.0000,0.1208
0.0000,0.0000,1.2673
0.0000,0.0000,-0.7379
0.0000,0.0000,-4.0892
0.0000,0.0000,0.8912
0.0000,0.0000,0.1101
0.0000,0.0000,-2.1267
0.0000,0.0000,1.5991
0.0000,0.0000,1.0209
0.0000,0.0000,1.4344
0.0000,0.0000,-1.5529
0.0000,0.0000,-0.1169
0.0000,0.0000,1.3809
0.0000,0.0000,-0.3694
0.0000,0.0000,1.8508
0.0000,0.0000,1.5043
0.0000,0.0000,0.0090
0.0000,0.0000,-0.3685
0.0000,0.0000,1.8625
0.0000,0.0000,-2.3901
0.0000,0.0000,2.0087
0.0000,0.0000,1.0162
0.0000,0.0000,0.5954
0.0000,0.0000,-0.2342
0.0000,0.0000,-0.1436
0.0000,0.0000,0.5917
0.0000,0.0000,0.7018
0.0000,0.0000,-0.4281
5.1611,22.4004,-0.3308
16.5163,71.6852,-0.0048
22.4447,97.4162,1.0169
29.0378,126.0319,0.4071
44.8366,194.6035,0.4802
52.1221,226.2246,-1.3266
57.7923,250.8347,-2.9960
67.3533,292.3322,-2.5348
66.4526,288.4228,-1.7104
72.0153,312.5663,-2.6281
82.3888,357.5905,-2.3087
90.4266,392.4767,-3.5936
99.5968,432.2780,0.2445
99.3095,431.0309,-3.6753
103.2226,448.0147,-4.7356
112.4624,488.1181,-6.1251
115.2284,500.1232,-5.1110
105.0226,455.8274,-3.3016
103.7714,450.3965,-6.3104
114.5038,496.9784,-6.2097
108.4563,470.7303,-7.5235
108.3551,470.2912,-4.5920
115.6556,501.9773,-7.3311
107.2775,465.6144,-8.2921
97.7226,424.1431,-5.3939
103.1514,447.7056,-6.9741
101.6949,441.3839,-8.3190
86.6528,376.0973,-7.6076
84.0651,364.8660,-8.9866
84.8793,368.3996,-7.5983
81.0713,351.8719,-6.5947
70.8126,307.3463,-7.3656
64.5308,280.0817,-9.9313
57.3998,249.1310,-11.8028
48.5971,210.9248,-8.7329
42.6397,185.0683,-7.5650
34.8426,151.2266,-9.0292
26.0863,113.2217,-10.0323
15.7364,68.3004,-7.3850
7.8995,34.2859,-8.8790
0.0000,0.0000,-8.4986
0.0000,0.0000,-7.1746
0.0000,0.0000,-9.8398
0.0000,0.0000,-6.6988
0.0000,0.0000,-8.1267
0.0000,0.0000,-7.6921
0.0000,0.0000,-8.9976
0.0000,0.0000,-5.9363
0.0000,0.0000,-6.8910
0.0000,0.0000,-10.9914
0.0000,0.0000,-7.6648
0.0000,0.0000,-5.6509
0.0000,0.0000,-6.3460
0.0000,0.0000,-3.4329
0.0000,0.0000,-3.0933
0.0000,0.0000,-5.1339
0.0000,0.0000,-5.3030
0.0000,0.0000,-1.3589
0.0000,0.0000,-4.1077
0.0000,0.0000,-3.9015
0.0000,0.0000,-4.5738
0.0000,0.0000,-4.4265
0.0000,0.0000,-3.9049
0.0000,0.0000,-3.3084
0.0000,0.0000,-4.4552
0.0000,0.0000,-4.2897
0.0000,0.0000,-1.6028
0.0000,0.0000,-1.8922
0.0000,0.0000,-0.6611
0.0000,0.0000,-3.6748
0.0000,0.0000,-0.8362
0.0000,0.0000,-0.0233
0.0000,0.0000,-0.5829
0.0000,0.0000,1.7334
0.0000,0.0000,3.1787
0.0000,0.0000,-0.5451
0.0000,0.0000,-2.0144
0.0000,0.0000,1.2452
0.0000,0.0000,-1.3922
0.0000,0.0000,0.3702
0.0000,0.0000,3.6081
0.0000,0.0000,0.8613
0.0000,0.0000,-1.9104
0.0000,0.0000,1.0327
0.0000,0.0000,1.1633
0.0000,0.0000,1.0122
0.0000,0.0000,1.5704
0.0000,0.0000,-0.3715
0.0000,0.0000,1.0419
0.0000,0.0000,2.1571
0.0000,0.0000,2.4093
0.0000,0.0000,-0.0741
0.0000,0.0000,-1.0253
0.0000,0.0000,0.4677
0.0000,0.0000,0.1341
0.0000,0.0000,-0.7037
5.1825,22.4936,-1.6458
13.5690,58.8931,1.1111
22.3894,97.1762,2.0669
33.7062,146.2945,0.6389
44.0072,191.0034,-1.3995
49.5207,214.9335,-1.5145
59.1349,256.6619,-4.2338
57.6030,250.0128,-0.3684
66.2015,287.3331,-2.8466
76.1968,330.7154,-3.0111
89.5158,388.5233,-0.7783
87.4742,379.6622,-5.7226
98.7587,428.6401,-1.1011
94.4099,409.7651,-3.8911
96.7547,419.9424,-3.5410
104.6724,454.3071,-3.6805
104.5854,453.9297,-4.9830
106.9183,464.0551,-5.5198
114.2669,495.9500,-5.8811
109.1450,473.7197,-3.9762
110.6933,480.4398,-5.3529
103.4993,449.2158,-8.0932
120.7824,524.2293,-3.2213
110.9797,481.6826,-9.5228
100.4963,436.1818,-7.9913
99.4841,431.7886,-10.2526
92.4618,401.3098,-7.1324
89.3545,387.8233,-11.4772
95.4619,414.3311,-4.9171
86.8007,376.7390,-8.7068
90.6828,393.5886,-10.3983
74.1430,321.8011,-6.6304
66.5417,288.8093,-8.9416
56.9502,247.1797,-7.4960
51.5940,223.9323,-8.5256
42.3313,183.7295,-11.1733
32.2903,140.1490,-9.5051
27.4977,119.3474,-11.7173
17.5265,76.0698,-8.1468
7.4967,32.5376,-7.6467
0.0000,0.0000,-7.5207
0.0000,0.0000,-8.5551
0.0000,0.0000,-8.4362
0.0000,0.0000,-7.1185
0.0000,0.0000,-6.8707
0.0000,0.0000,-7.7099
0.0000,0.0000,-5.8051
0.0000,0.0000,-8.4430
0.0000,0.0000,-8.5175
0.0000,0.0000,-7.7613
0.0000,0.0000,-5.1386
0.0000,0.0000,-5.2147
0.0000,0.0000,-6.9867
0.0000,0.0000,-4.5353
0.0000,0.0000,-3.6545
0.0000,0.0000,-4.6045
0.0000,0.0000,-4.8583
0.0000,0.0000,-4.7445
0.0000,0.0000,-5.1899
0.0000,0.0000,-5.0401
0.0000,0.0000,-6.3649
0.0000,0.0000,-3.1956
0.0000,0.0000,-1.8830
0.0000,0.0000,-4.9603
0.0000,0.0000,-3.3841
0.0000,0.0000,-0.6730
0.0000,0.0000,-2.0078
0.0000,0.0000,-0.3599
0.0000,0.0000,-0.9346
0.0000,0.0000,1.2944
0.0000,0.0000,-5.0099
0.0000,0.0000,2.4730
0.0000,0.0000,0.3256
0.0000,0.0000,1.4454
0.0000,0.0000,1.1568
0.0000,0.0000,2.2232
0.0000,0.0000,1.3943
0.0000,0.0000,0.9215
0.0000,0.0000,0.0529
0.0000,0.0000,0.4241
0.0000,0.0000,0.0715
0.0000,0.0000,1.3798
0.0000,0.0000,0.9409
0.0000,0.0000,2.7025
0.0000,0.0000,0.4884
0.0000,0.0000,-0.5540
0.0000,0.0000,0.7184
0.0000,0.0000,1.7733
0.0000,0.0000,2.5815
0.0000,0.0000,1.7959
0.0000,0.0000,1.4930
0.0000,0.0000,-2.6983
0.0000,0.0000,2.9398
0.0000,0.0000,2.0810
0.0000,0.0000,0.5753
0.0000,0.0000,-0.6917
5.5692,24.1717,1.8169
14.1647,61.4787,-0.2269
21.5434,93.5042,-3.9249
29.9462,129.9747,-1.5088
39.8970,173.1643,1.2752
49.9576,216.8297,-0.2587
60.2958,261.7005,-1.6037
60.1353,261.0038,-4.1269
72.6494,315.3185,-3.4624
82.6475,358.7129,-4.2121
79.0774,343.2180,-1.7932
92.0836,399.6683,-3.8926
94.0720,408.2984,-4.9067
95.2425,413.3788,-4.0734
86.6452,376.0641,-4.3426
109.9999,477.4301,-4.4078
107.8784,468.2224,-3.8769
116.8682,507.2404,-3.9376
113.8872,494.3021,-5.2875
115.6135,501.7946,-6.1460
112.4706,488.1534,-3.5799
101.6588,441.2275,-5.9342
